diet,why_diet
Vegan,For the animals and environments mostly. I love the health benefits of it but my main motivators for having this lifestyle is to contribute as little as possible to animal cruelty
Vegan,Animal compassion
Vegan,"Animal rights, Environmental and Health"
Vegan,Ethical
Vegan,"To save animal lives, for my health & the environment."
Vegan,Ethical
Vegan,animal welfare
Vegetarian,I’m drawn to this diet
Vegan,Ethical reasons
Vegan,Health and for the animals.
Vegan,Purely Ethical. The fact that there are health benefits attached a whole foods plant based diet and it is also more beneficial to the health of the earth only adds benefits to the fact that I follow a vegan lifestyle and. Ethical. The fact that there are health benefits attached to whole foods plant based diet and it is also more beneficial to the health of the earth only adds benefits to the fact that I follow a vegan lifestyle.
Vegan,"80% for animals, 10% for health and 10% for environmental reasons."
Vegan,"Animals are sentient beings and deserve to live just as much as we do. I also don't want to be consuming foods that are poisonous to my body and are damaging my health. I follow this lifestyle so my actions align with my morals. The animals are dying, we are dying and so is the planet simply because we murder and consume animal flesh and their secretions on an unfathomable scale. I want the animals to be safe, my body to be healthy and the planet to be cared for."
Vegan,Environmental
Vegan,animals
Vegan,The impact that the meat and dairy industry have on the planet and because animals are not commodities. It is horrific how we treat them because we are conditioned to view them as ‘food’ and nothing else.
Vegan,"Ethical, health and environmental reasons."
Omnivore,I try to be vegan/vegetarian but it’s super hard to maintain so I eat meat and animal products occasionally
Vegetarian,"Started as a child as my parents did it for religious reasons.  While I have tasted many meat, fish and poultry, my go to foods are vegetarian and I choose to continue following it."
Vegan,Animal welfare
Vegetarian,"For the animals, I am slowly becoming vegan"
Vegan,"First went vegan for the animals, now also for my health"
Omnivore,"pescitarian, eat fish once a week, nil dairy."
Vegan,For the animals behalf
Vegan,I care too much about the animals
Vegan,"Health, environmental, animal cruelty."
Vegan,"Ethical, animal cruelty"
Vegan,"Ethical, health"
Vegan,"Initially started due to environmental and ethical reasons, however now also see the vast health benefits from a vegan diet also."
Vegan,"For the environmental, health and animal impacts"
Omnivore,Quick and easy
Vegan,Health
Vegan,Ethics
Vegan,I am vegan for the animals
Vegan,"Environmental, health and ethical/moral factors. I believe a vegan approach is the best for all of these aspects."
Vegan,"Animals
Environment
Health"
Vegan,Ethical and health
Vegan,"Health, animals and the environment"
Vegan,"Health, Ethical and Environmental. 
Ethics&gt;Health&gt;Environment"
Vegan,For the animals
Vegan,"Ethics, morals, health"
Vegan,Ethical and envirnomental
Vegan,"For ethical reasons mostly, but health has now become a huge part of it now as well since I have seen the benefits firsthand."
Vegan,"Protection of the environment. 
Ethical motivations.
Health benefits."
Vegan,"the suffering and exploitation of animals 
better for the environment 
optimum health"
Vegan,"Environmental reasons - the planet is dying and animal agriculture is a big cause 

Ethical reasons - thinking you have the right over others lives is cruel"
Vegan,For ethics - I don't believe it is right to cause the death of another sentient being when you don't have to in order to be happy and healthy. And for the environment/sustainability.
Vegan,It started as moral reason e.g animals rights but also has developed for health reasons
Vegan,Morality and health
Vegan,"Primarily ethical reasons, environmental and health benefits are a bonus."
Omnivore,Raised that way
Vegan,"It’s ethical, good for the environment, good for my health and good for the animals."
Vegan,Generally healthier diet and more ethical
Vegetarian,Personal reasons
Vegan,Ethical
Vegetarian,"I've never enjoyed eating meat, and I'm currently transitioning into a vegan diet. I belive that not eating meat (and animal products in general) are better for the environment, health and the animals themselves!"
Vegetarian,"Health, environmental impacts, animals."
Vegetarian,Im against animal cruelty.
Vegan,For the animals and the environment
Vegan,"Ethical, environmental impact, improves health"
Vegan,"Animals, environment & health"
Vegan,"Sustainability, reduction of animal cruelty, health"
Vegan,Health and morality
Vegan,"Ethical,environmental,health"
Vegan,Ethics and health
Vegan,To reduce animal cruelty
Vegan,Ethical and health
Vegan,Plant-based diets are essential for limiting the effects of climate change. Animal agriculture/meat-eaters are responsible for almost twice as many dietary greenhouse-gas emissions per day as vegans.
Vegan,"Animals, environment, health....in that order"
Vegan,"Cruelty free way of living, I love all animals and much less of an impact on the environment."
Vegan,"It started as a health thing, now I do it for myself, the planet, the animals, everything."
Vegetarian,Health and ethical reasons
Vegan,"I love animals, I love our planet, and I love fruit and vegetables."
Vegan,For the animals
Vegan,I have always considered myself an animal lover and decided to make the switch to a vegan diet as I personally believe you cannot claim to love and care for animals whilst you knowingly and willingly support an industry that treats animals inhumanly.
Vegan,I don’t believe animals are here to be tortured and exploited
Vegan,After watching documentaries such as Earthlings and Farm to fridge. These documentaries really opened my eyes to animal exploitation and cruelty. I also learned you can live a happy healthy life without harming others as you can get everything you need from plants sources.
Vegan,Animals
Vegan,Ethical + environmental reasons mostly.
Omnivore,"I grew up in the south, poor. Cheap on-sale meat and hunting (plus lots of beans and rice) is what got my family by, so it's what I grew up eating and it's what tastes good to me. I do try to eat mostly fish and chicken with little to no red meat though as an adult now."
Vegan,Ethics and the environment
Vegan,Ethical and environmental reasons
Vegan,"Animal welfare, climate change and I'm intolerant to some animal products (eggs, dairy.)"
Vegan,"For the planet, for the animals and for my health"
Vegan,"Ethics, both environmental and the treatment of animals."
Vegan,against animal cruelty and i dislike the taste of meat.
Omnivore,I like a range of foods
Vegan,"Its healthier, its cheaper, and the main reason is I dont want to eat animals or animal by products"
Vegan,"Animal cruelty
Health
Environment
To avoid unnecessary harm and damage to the world"
Vegan,Ethical & health reasons
Vegan,Ethical and I feel my body responds better on a plant based low processed foods diet
Vegan,"Ethical
Health 
Environmental 
If I am able to sustain myself wth harming other animals then why would I choose to continue eating them"
Vegan,"For the animals, for my health and for the environment."
Vegan,Ethics & environmental concerns
Vegan,Environmental
Vegan,"Animal protection, environment preservation and healthy eating"
Vegetarian,To make my body physically smart and to defence against disease.
Vegan,Health
Vegan,"The animals, health and the environment."
Vegan,I don’t want to be the cause of animal suffering and death.
Vegan,"Animal Welfare, Environmental impact and personal health"
Vegan,"Conscious, equality, respect,"
Vegan,"ethical
"
Vegan,"For the Health benifits
For the animals 
For the Planet 
For the people 
Justice against repression."
Vegan,"For the animals, for my health and for the environment."
Vegan,"Less OCD with meat and diary in kitchen.
Healthier for me.
Don't want to pay companies for products that are hurting lives, human and animal, and are refusing to reduce environmental impact.
I went vegetarian when I was 8 cause I said I love animals."
Omnivore,Always have
Omnivore,"No reason, just what I eat"
Vegetarian,My daughter is vegan and has made me more conscious about what I eat
Vegetarian,Environmental
Omnivore,"What I was bought up on, get a good balance of foods, I like different foods"
Vegetarian,It’s my preference. I simply disliked it.  I’m a vegetarian for the last 36 years .
Vegan,I have endometriosis and wholefoods vegan is said to be anti inflammatory. For compassion to animals and for the planet.
Omnivore,This is the diet I have always eaten since I was a child
Omnivore,I like the variety not having to exclude meat offers me.
Vegan,Animal protein and fat upsets my stomach
Omnivore,"my family prefer meat, so we tend to eat it at home. If my partner cooks it’s meat based. I will choose veg options when eating out bc of the effects of meat consumption on global warming"
Omnivore,"Health, lifestyle, budget"
Vegetarian,"Ethics
Environmental"
Omnivore,I enjoy meat and I enjoy vegetables
Vegetarian,Psychological
Vegan,Ethical (animal welfare)
Vegetarian,Ethical and environmental
Omnivore,Fun
Vegan,Ethical and Health reasons
Vegan,Health and improving symptoms from my rheumatoid arthritis
Omnivore,"I find veganism too restricted, and i like the taste of meat"
Omnivore,Historical
Vegan,Ethical - animal welfare
Omnivore,"Access
Taste
Background"
Vegetarian,Health reasons.
Vegan,Ethical
Omnivore,"It is my default diet from childhood, I like meat and diary"
Omnivore,I like meat. And cheese. And veggies. And cooking.
Vegetarian,"Don't like how animals are treated before they're killed (trapped in small spaces, being overfed etc) and just never liked the taste of meat in general."
Vegetarian,I don’t like meat
Omnivore,I don't like restricting myself and feel I am actually more healthy consuming a diet with a good mix of meat and veggies.
Vegetarian,Health reasons
Vegetarian,ethics/morality
Omnivore,"I was vegan but switched and began eating
meat again because my life partner eats a lot of meat (and hates vegetables). It also makes it easier for me to get enough protein in my diet."
Vegetarian,"I am ethically opposed to the suffering of animals, and believe that it is hypocritical to eat farm animals when we would never (and it is illegal to) harm our own domestic animals."
Omnivore,Feel like meat would be too hard to give up
Omnivore,"Taste, lack of moral conviction"
Vegan,"1. To reduce cruelty to animals
2. To reduce harm to the planet
3. for good health"
Vegetarian,How i grew up
Vegetarian,Was raised vegetarian (moral/religious value based)
Omnivore,Good question
Vegetarian,"I enjoy the food more than meat, and my digestion is happier when I don’t eat meat. Reducing harm to the environment and to the animals themselves are added bonuses."
Vegetarian,Primarily ethical reasons. I find it hard to detach myself from my empathy for animals like most omnivores. I also swing between vegan and vegetarianism (depending on how stressed I am) more stressed = less dedication to veganism
Omnivore,Traditional
Vegetarian,Eating meat is bad for the environment
Vegetarian,Medicinal values & health care.
Omnivore,I love it
Vegetarian,"Because itsvitamin
"
Vegan,Health
Vegetarian,Because i want happy healthy life
Omnivore,Like it
Omnivore,I love food!
Omnivore,No reason
Omnivore,Because I like both type diet abstract from animal and plants
Omnivore,Habit
Vegetarian,Being diagnosed with Fibroids
Omnivore,I like meat
Omnivore,I enjoy the variety of both meat and vegetable meals. I believe it provides the best way to supply the body with all the nutrients it requires.
Omnivore,You have more variety of dishes . Both vegetables and meat are provide mouth watering dishes to eat .
Omnivore,Actually I am a pollotarian and I avoided red meat since I was 10 years old
Omnivore,environmental causes
Omnivore,It is very rich and interesting
Omnivore,To lose weight
Vegetarian,Personal
Omnivore,"No, special reason"
Omnivore,Availability
Omnivore,I eAt mostly vegetarian but indulge in meat occasionally. I have been eating less meat recently for environmental reasons
Vegetarian,"Moral and environmental reasons- I think killing/harming animals for food is wrong, and my enjoyment of meat was never proportional to the environmental/life cost of it"
Vegan,Mainly the ethical implications. With the environmental benefits to a whole good vegan diet being the second reason and the personal health benefits a third reason.
Omnivore,"I think vegetarianism/veganism are ethical choices but prefer meat both for taste and nutrition.  Though I am an omnivore, I keep my consumption of beef and pork to a very low level (usually less than once a month for either) but eat tuna every day.  I was a vegetarian for about 7 years"
Omnivore,Health and taste
Omnivore,"I like it, it’s balanced, gets best health outcomes for me, doesn’t require special effort"
Vegan,Hhj
Omnivore,"Personal preference, lifestyle"
Omnivore,"I was brought up this way and as adult I do not see any reasons to change it. I think we can help animals in different ways and not eating meat or other ""animal based"" products is not crucial. Moreover, substitution of meat and such products is not easy and requires thoughtful preparation in order to not deteriorate health."
Vegetarian,"Ethical concerns (reduce animal suffering; I can easily live healthily without killing conscious creatures for food) and environmental concerns (mainly regarding climate change: eating meat is a lot less energy-efficient than eating plants, rain forest is sacrificed to keep cattle herds; but also miscellaneous concerns, e.g. antibiotics use in factory farming increases the prevalence of superbugs)"
Omnivore,I enjoy food
Omnivore,I don't follow any ideology nor have I any medical conditions that would make me restrict my diet.
Omnivore,It’s how i was brought up
Omnivore,Everything in moderation
Omnivore,"Habit, partner likes meat, have been veg for a few years but omnivore now."
Omnivore,How I was raised
Omnivore,I enjoy it
Omnivore,Personal choice
Omnivore,I enjoy all foods
Omnivore,"To ensure i get balanced nutrition and im not lacking in anything, also a good amount of protein to retain strength and muscle"
Omnivore,Health
Omnivore,Ease of cooking for a family.  Kids wouldn't eat vegetarian. I would be vegetarian if i just had me to cook for
Omnivore,"I think it’s the healthiest and most sustainable when done “for right”; locally grown, locally sourced."
Omnivore,It suits my lifestyle
Omnivore,I like all different types of food.
Omnivore,Weightloss
Omnivore,I enjoy both meat and vegetables
Omnivore,I enjoy eating animal products and am on a Ketogenic diet so alot of my fat is from animal products
Vegetarian,"Environmental Impact, Healthy Eating"
Vegetarian,Meat is too expensive
Omnivore,Mostly for the culture. I don’t typically eat a lot of animal products in my daily life but I love trying out other culture’s foods that I feel like I would be missing out on otherwise. Also the convenience of it as well.
Vegan,"Ethical
Environmental
Health"
Omnivore,Unable to be vegan or vegetarian for health reasons
Omnivore,To eat a wide variety of foods
Vegetarian,"To be honest, I have never enjoyed the taste of meat and was always an extremely picky eater. I am quite close to following a fully vegan diet but I have a few non-vegan recipes that I haven't yet swapped."
Omnivore,I don't have any dietary restrictions and I enjoy all different food groups
Omnivore,I'm used to it and I never really thought about changing it
Omnivore,"Easy to follow, I like meat and non meat products. Variation is good."
Vegetarian,I do not like the taste and texture of meat so vegetarianism was a natural choice.
Vegetarian,"Animal welfare, environmental"
Omnivore,For my health
Vegan,"For ethical reasons, I don't think its right for me to kill or otherwise harm animals for my own gain/for food."
Omnivore,That’s how I grew up
Omnivore,"there are no specific reasons I follow this diet, it is just what works best for me"
Omnivore,its tasty
Vegan,"It helps cut down my carbon footprint, I hate the way factory farming treats animals, and I just physically feel better eating a vegan diet."
Vegetarian,"1)For healthier living
2) To hopefully reduce fibroid risk as it runs in my family"
Omnivore,Convenience
Omnivore,"My diet is a mix of vegetarian and omnivore, and the reason I still eat some meat/dairy is because vegetarianism is difficult in a country where all national cuisine has some form of animal product in it."
Vegetarian,"Animals mainly , also haven't ever particularly liked meat ."
Vegetarian,Do not agree with the practices of the animal sector
Vegetarian,Ethical and health reasons
Omnivore,"Convenience, Balanced nutrition, and tasty food"
Vegetarian,"Vegetarian but also lactose intolerant.

I don't really like meat, and the lactose intolerant thing I can't change."
Omnivore,"I enjoy the taste of meat and chicken, all my family members are omnivores"
Vegetarian,Eating meat affects me emotionally
Vegetarian,Felt bad about eating animals.
Vegetarian,"I was vegan for about a year, and the ethical and personal ramifications of eating meat don't make sense to me anymore."
Omnivore,My doctor says I’m not allowed to cut anything out of my diet because it could be dangerous to some of my chronic illness’
Omnivore,"Good balance without thinking about specific nutrients, not restrictive, I enjoy eating meat - the taste, cooking it, experiencing other cultures"
Vegan,The same reason I went vegetarian. I can live without meat/dairy etc so why not do it?
Vegan,"I do not want to contribute to animal cruelty, and the affects of eating meat has on the environment is horrible."
Vegetarian,I never thought I could be vegetarian until one day I just stopped eating meat to see how I would feel and I have not looked back. Being more aware of animals and the environment has spurred me on to continue as vegetarian.
Omnivore,Because I like all food and do not want to go without.
Vegetarian,I feel it is a healthier lifestyle
Vegan,Animal welfare.
Vegetarian,I don't want animals to die for me
Omnivore,It’s easy
Omnivore,"Because it is the most affordable option, and I don't feel guilty about eating meat."
Vegetarian,Ethics
Vegetarian,"Environmental impact, ethical reasons and preference of taste."
Omnivore,"I try to limit my animal products in my diet, but also enjoy eating animal product foods, and enjoy trying a variety of restaurants and don't want to wast free foos, too much to completely stop"
Vegan,"Veganism isn’t just a diet, it is about reducing the least amount of harm possible for the animals and environment. Also to improves one’s health and to help reduce the starvation of people. Veganism is a lifestyle, not just about food, as it involves choices of clothing and other items around."
Omnivore,"I do my best to maintain a balanced diet, and I like to include meat as a protein at least once a day."
Vegetarian,Ethical reasons - I don't want to eat any animals because they're living beings and I'm disgusted by the thought of eating a corpse
Omnivore,"I enjoy both fruit, vegetables and meat. It is what I grew up eating."
Omnivore,I like it and would find it really hard to give up meat I think.
Omnivore,"I like eating meat and I need to, to get enough protein and iron"
Omnivore,"In no order:
Easy, balance, cost, taste"
Omnivore,It’s what I grew up on and I haven’t found “my” reason to become vegan easily yet
Omnivore,"I have difficulty keeping on weight, and it's generally easier to make sure I get enough calories and protein if I eat meat. I also just generally don't have any moral qualms with eating meat so I don't really see a reason not to. I don't have the energy or time or motivation to carefully figure out how to make sure I still get all the nutrients and fat and protein I need without any meat. Vegetarian and vegan diets tend to be in my opinion more expensive and more difficult to balance."
Vegetarian,I was raised vegetarian due to my mom's religion (but I am not religious).
Omnivore,tradition in my family
Omnivore,I'm in recovery from anorexia nervosa
Vegetarian,"I personally eat healthier on a plant based diet, but giving up all dairy is increasingly difficult when spending more time with friends or family. I mainly avoid meat because it makes my stomach hurt and makes me feel bloated."
Omnivore,I don’t have any strong reasons morally or health wise to eat otherwise.
Vegan,"Mostly vegan. Vegetarian since in was 8 years old as I was/am a fussy eater, didn't like much meat and was constantly being told 'Either be vegetarian or eat meat, you can't pick and choose and being fussy'. Animal products have decreased throughout the years with periods of full veganism, however it has made me lose a lot of weight in the past so have then reverted to vegetarianism. An eating disorder probably influenced my food choices in different ways (binging, including dairy products and restricting dairy products. Learnt a lot about my ethics and nowadays supermarkets and food establishments make it so easy to be plant based, there really isn't any excuse. So much better for the environment and my health too."
Vegetarian,Turned off meat over a decade ago.
Omnivore,No strong feelings about veganism
Omnivore,"I exercise a lot (lifting and martial arts) and as much I would enjoy a vegan or vegetarian lifestyle, it would be difficult for me to get the right amount of nutrients."
Omnivore,"I like meat, despite being very aware of the negative global environmental affects of the industry. But, at the end of the day there is virtually no ethical consumption under late stage capitalism."
Omnivore,"Health deficiencies, preference, lifestyle 

I’m a professional athlete with iron and B12 deficiencies along with lactose intolerance, so vegetarianism/veganism doesn’t work for me"
Vegetarian,"Health
Environmental
Ethical"
Omnivore,"It allows me to most easily get all the necessary nutrients and gives me the most varied options. I try to eat regional & seasonal as well as pay attention to the circumstances of the animals the eggs, meat and dairy I consume come from in order to lower the negative impact I make on the planet."
Omnivore,"Fat Loss, mental clarity, reduce inflammation"
Omnivore,I enjoy eating a variety
Omnivore,Full nutritional variety.
Omnivore,Enjoy a wide range of foods
Vegetarian,Just because
Omnivore,"Having suffered from an eating disorder for over eight years (initially diagnosed with Bulimia Nervosa in 2010, diagnosis changed to Anorexia Nervosa in 2016), I am reluctant to place further restrictions on my diet. I am currently in recovery- I have been fully weight restored for 9 months and am now only rarely using disordered behaviours. However, I am aware of the effect that dietary restriction has on me- any concrete rules around food tend to trigger cravings and binge/purge behaviour, and any dietary rules I put in place tend to become more rigid and restrictive over time. I think it would be very easy for disordered restriction to sneak back in under the disguise of healthy, ethical exclusion of food groups, and this is not a risk I am currently willing to take.
I have known many people who have become vegan during their recovery from an eating disorder, and have felt that in the majority of cases (though certainly not in all) the new rules and restrictions of veganism have replaced the rules and restrictions of their eating disorder, whether or not the individual concerned has been aware of this. Some acquaintances have become vegan with the conscious intent to use this to control their diet (as veganism excludes many food items with high fat or calorie content e.g. cheese, many baked goods, milk chocolate etc) and use lower calorie alternatives (e.g. soya or almond milk instead of dairy). I have also known people who genuinely believe that they are making a healthy choice by becoming vegan (either during their eating disorder or their recovery), but whose devotion to veganism has uncomfortably mirrored their previous devotion to their ED driven rules and rituals; as a result, food and their diet remains the central focus of their lives. At this point in my recovery I do not feel that I would be able to be completely honest with myself about my intentions if I were to adopt a vegetarian or vegan diet."
Omnivore,Improved health and weight.
Omnivore,It suits me and my family
Omnivore,Weight loss and overall general well-being
Omnivore,Ease
Vegan,"Ethical, environmental, health"
Omnivore,The way I was raised to eat.
Omnivore,I eat what I like and have grown up eating.
Omnivore,Upbringing and ease of access to this type of diet.
Vegetarian,Ethical. I try not to eat dairy either but would not consider myself a vegan.
Omnivore,It is the diet I am most comfortable in sticking to
Vegetarian,I am a vegetarian because I do not want to consume animal flesh for ethical reasons. I intend to transition to a vegan diet in the future.
Vegetarian,factory farming is unethical
Omnivore,Meat is incredibly tasty.
Omnivore,I enjoy eating a variable diet and I know that I’m recieving enough iron from eating meat.
Omnivore,Choice
Omnivore,Parents
Vegetarian,"i have pcos and meat is not recommended. also, i honestly love vegetables"
Omnivore,It's cheap; it's what I grew up with. I like eggs and sushi too much to become a vegetarian.
Omnivore,I have an eating disorder and my diet is mandated by my treatment team
Omnivore,recovered from eating disorder so least restrictive diet
Vegetarian,"Eating meat affects me emotionally. I love the taste and my body could use the protein, but my mind can’t handle corpses."
Vegan,Ethical and Environmental
Vegetarian,I feel it is a healthier way of life
Vegetarian,Meat was expensive to buy while I was living at university. Being vegetarian is something I've just gotten used to even after finishing university.
Vegetarian,"Fear of food poisoning from meat, dislike of the texture of most meats."
Omnivore,Fully balanced
Omnivore,I like both meat and plant food items
Omnivore,Brought up with this lifestyle
Omnivore,I like to eat meat and vegetables.
Omnivore,Because vegan is overly restrictive and I like meat. I also try to follow a higher protein lower carb diet which would be much more difficult without meat sources.
Omnivore,Pure inertia- I live with my parents and don't have much say in my diet choices
Vegetarian,I literally just don’t like most meats and b/c of the ethical aspect it was easier to just go vegetarian
Omnivore,I like to enjoy what life has to offer.
Omnivore,This is the diet I had growing up. It is what I am most used to and know how to cook
Omnivore,"I suppose it's because I was raised an omnivore, and see no health or ethical reason to change."
Vegetarian,"I have been lacto- vegetarian for over 8 years, I have always felt guilt eating meat as a child and preferred to only eat chicken. Until about 18 where I couldn’t eat chicken and eggs any longer knowing the cruel industry behind it"
Omnivore,Health
Omnivore,"Habit, but not meat every day"
Omnivore,I follow a loose vegan diet as my partner is vegan. I outsource my protein to family events and when eating out. At home I eat vegan to make life easier for the both of us.
Omnivore,I enjoy meat. I enjoy vegetables. I have tried other diets and fads but did not enjoy.
Omnivore,"It is the healthiest.
Moral arguments against omnivore diets are unfounded"
Vegetarian,"Health, don’t want to hurt animals"
Omnivore,I have always ate like that since I was born
Vegan,Ethics
Omnivore,Meat is tasty and good for you as well as veges.
Omnivore,"I always have, so I’m used to it. I was brought up on it and believe that it’s the easiest way to get all of the nutrients I need. Also I love the taste of meat."
Vegetarian,To reduce my environmental impact
Omnivore,Would be a vegetarian however I am dangerously anemic and hence must have meat to avoid blood transfusions
Omnivore,I’d more class myself as reductionist
Omnivore,Easiest diet to follow. E.g. dining out and eating a communal meal at home
Omnivore,Actually pescatarian. Have tried to reduce red meat/chicken intake for health and moral reasons.
Omnivore,Easy to follow Variety of options
Vegan,"Veganism is not a diet its a value system (will elaborate below) plant based is a diet (will elaborate below) that aligns with the values of veganism.

Plant based diet:

The largest studies on human nutrition and disease ever conducted have all concluded that a whole foods plant based diet is not only the healthiest diet for humans but it also prevents and even reverses the biggest diseases and causes of death in the West (14 out of the 15 top diseases in the West are caused or worsened by animal products) the required amount of animal products humans need is zero. Look into ""The China Study"" as a start.

Veganism:

Veganism is an emergent value system in an emergent universe; its a value system that is focused on ever decreasing the human impact on earth and it starts with removing all animal products from ones diet and lifestyle choices for the following reasons:

Over 60 billion land animals are raised, confined, mutilated, tortured, seperated and then murdered for food that is making humans sick and is now the leading cause of death in the west.

Over 500 billion sea life are killed each year with many being ""by products"" i.e. dolphins and sharks and turtles being caught in large fishing nets.

99% of all land animals are raised in factory farms where animals are treated worse than the worst criminals in the world. Animals are confined in cages inside factories their entire lives, they are mutilated as they go insane and try and eat each other, they are often boiled alive in scalding tanks which remove hair because the rate these animals are killed is faster than they bleed to death. Pigs in australia are gassed to death.. sound familar?

Because over 60 billion land animals are raised and killed each year the animal agriculture industry is the main cause of all environmental destruction and climate change.. even if we completely changed our power and transport systems we will still destroy the environment and ourselves at this rate.

Animal agriculture is the main cause of:

Deforestation
Water pollution
Habitat destruction 
Species extinction
Climate change

Animal agriculture is also the main consumers of antibiotics.. as animals are so sick in their cages that they are drugged.. people who eat animal products are becoming unable to use antibiotics.

The animals people are eating are making them sick and new drugs and treatments are teated on animals when the solution is to juat stop eating them.

Farm animals such as pigs are smarted than human children, smarter than dogs, and we torture them for life and murder them for 5 minutes of selfish pleasure.

""If animals ever formulated a religion, the devil would be depicted in human form""

""To animals, all humans are nazis"""
Omnivore,It was how I was brought up and I have no ethical or moral objections to eating meat or animal products
Omnivore,"Allergies to lots of grains, beans and dairy which makes it exceptionally difficult when being either vegan or vegetarian."
Omnivore,Convenience and variety
Omnivore,"Easier
Bought up like this
I'm lazy to be vegan/vego
I like meat"
Vegetarian,"The major motivating factor is personal preference. Meat grosses me out.
Ethical (harm minimisation to animals, environmental) concerns factor into the thought process, but I think they're a positive symptom rather than the prime mover."
Vegetarian,"Trying to do less harm,  now a habit after 17 years"
Omnivore,"Easy, habit"
Omnivore,I have dietary restrictions that make following a vegetarian diet difficult.
Omnivore,Would like to be vegetarian but have low iron
Omnivore,Because I like all types of foods and multiple sources of nutrition
Omnivore,Enjoy meat
Vegan,"I think it's the healthiest way of living and it saves the world, in a way"
Vegan,Animal welfare
Omnivore,Convenience
Omnivore,"Taste, assists in muscle growth for my physical activity"
Vegetarian,the environment - using less water and more sustainable
Omnivore,It's the diet I was raised with.
Omnivore,There are no compelling health or moral reasons to do otherwise.
Omnivore,Don't want to limit my diet
Omnivore,Raised on this diet and sometimes struggle to keep my iron levels up so eating meat is important for me.
Omnivore,"Grown up eating both, enjoy eating both plant-based and animal-based foods, i do not like to have ‘diets’ as they feel like too much cognitive effort. However, I have never ascribed to a particular diet as much, i have just grown up eating what I eat."
Omnivore,I enjoy eating a wide variety of foods
Omnivore,"Convenience, socially and financially"
Omnivore,"I'm guessing that means everything.... It's ""The way"""
Omnivore,tastes good
Omnivore,"IBS - I live on the FODmap diet. Majority of vegetables, fruit, lentils/nuts/beans/chickpeas make me sick so I don't have an option."
Omnivore,Meat yummy
Omnivore,Preference
Omnivore,Ease. Ready and tasty access to protein.
Omnivore,More healthier
Omnivore,It makes my life easier
Omnivore,I love all food
Omnivore,Taste. Nutrition. Availability.
Vegetarian,Environmental - climate change
Omnivore,Ii believe a mixed diet of plant and meat is what is needed to make a balananced diet
Omnivore,I like to eat a range of food that tastes good
Vegan,"Animal cruelty, health & environment"
Vegan,"Animal welfare foremost then health and environmental
"
Vegan,Ethical
Vegan,"environmental reasons 
health reasons
animal liberation 
"
Vegan,To minimise my harm to other beings and the environment.
Vegan,Reduce animal cruelty and improve personal health.
Vegan,Ethical reasons - animal suffering
Vegan,ethics and environtment
Vegan,"Mostly ethical, but also health and taste preference (never enjoyed the taste of meat)"
Vegan,"Ethical i.e Animal rights. Though I'm also aware of health and environmental benefits, these are added bonuses, not my reasons for becoming vegan."
Vegan,"Sustainability of the environment. 
Personal beliefs that killing is unethical."
Vegan,"Ethical, environmental, health"
Vegan,"Health, ethical and environmental factors have influenced me to follow a vegan lifestyle"
Vegan,"The poor animals. If we can live healthy and happy lives without harming others, why wouldn't we?"
Vegan,Animal welfare
Vegan,The animals my health and the planet !
Vegan,dont believe animals should be raised to die and then i realised how bad the dairy/egg industry was too and dont feel right that animals are treated this way
Vegan,I initially went vegetarian because I don’t believe that animals should die for us to eat then I went vegan for my health and the planet as well as animals when I found out the harm hens and cows go through for eggs and milk.
Vegan,Because of the cruelty to animals and negative impact on the environment
Vegan,"Environmental, food security and animal rights reasons"
Vegan,Along history of stomach problems - all cleared once going vegan!
Vegan,Ethical and sustainability reasons.
Vegan,"Ethical, environmental, health"
Vegan,"Ethical reasons - I love animals.
Environmental impact."
Vegan,"Animal rights
Health
Environment"
Vegan,"Non violence, environmental factors and health"
Vegan,Ethical and health
Vegetarian,"As a baby I rejected most meat, fish and seafood and only ate a few under sufference. By the time I was about 12 I had gradually stopped eating all forms of meat, and I still hate the taste now."
Vegan,"Ethical, Nutritional, Health, Environmental, Compassion, Spiritual Belief."
Vegan,"Ethical, environmental, and health reasons"
Vegetarian,I watched the doco What the Health that turned me entirely off animal products. After 5months I started adding small about of egg and milk (mostly when eating out). I am not a vegeterian and can't see myself ever eating meat. I choose non animal products when possible still.
Vegan,Ethical and environmental
Vegan,"Ethical, environmental"
Vegan,Ethics.
Vegan,Primarily environmental and ethical principles
Vegan,Environmental and ethical
Vegan,Environment - Animal welfare - Health
Vegan,"Ethical and environmental, and I don't want to do harm to living creatures"
Vegan,Animals loves have a greater purpose then to be used for food and products
Vegan,Ethical reasons. I had pets and I no longer saw a need to differentiate animals based on whether they were pets or farm animals. They all feel pain and if you love someone you don’t kill and eat them!
Vegan,Animal ethics
Vegan,"Ethics 
Ideology of how I chose to live (aligning behavior with my morals) 
"
Vegan,"1. The environment
2. Ethically don't believe in exploiting animals
3. Treatment of animals in the industry"
Vegan,"Ethical, environmental, health"
Vegan,I care about the life of animals and the future on this planet
Omnivore,"Habit, although I am interested in moving to a more plant-based diet."
Vegan,Ethical. Environmental
Vegan,"Ethicality. I feel murder is immoral, and the process of torture and immense suffering these animals face is barbaric and unjustifiable. While there are counterarguments to these which propose that might is right and that such treatment is justified by processes of evolution - these reasons are insufficient when I look to the immensity of pain and suffering born out by animals and live with the recognition of my culpability and participation in this violence."
Vegan,For the animals and the environment
